Questions,Answer_key,Topic,Importance,Category
"Analyze and compare the architectural styles of the Hagia Sophia in Istanbul and the Notre-Dame Cathedral in Paris. Discuss the key architectural elements, construction techniques, and cultural influences that define each structure. Argue which building, in your view, is a more significant architectural achievement and defend your assertion.","Beyond their structural differences, the best answers should analyze how the design of each building reflects the dominant religious and political ideologies of their respective eras.",Art,Medium,Reasoning
"What are the characteristics of APOBEC-driven SGMs, particularly their association with YTCA motifs and APOBEC3A expression, especially cancer mutagenesis? ","Best answers would be factual, true and list the three most commonly cited characteristics of APOBEC-driven cancer mutagenesis in scientific literature",Bio,Medium,Uncategorized
Draft a one-page product requirements document (PRD) for integrating a brilliant new AI feature that talks to  to an enterprise software company,"A good answer has great structure, and PRD is very well drafted",Business,Medium,Uncategorized
"Build a google sign in page that takes me to a profile page that shows my details. Keep the user logged in (using tokens or cookies), and show different messages based on the user's login status. I want the best implementation.","Has to be good clean code. Evaluate as if you're a senior engineer. There cannot be any  broken OAuth flows, redirect URI errors, links to documentation needing wandering in Google Cloud Console for API keys.",Coding,Medium,Reasoning
Can you design a Venn diagram meme that humorously illustrates the unexpected similarities between three different things?,The best answer has to be really really funny.,Creativity,High,Creativity
"Did beethoven write solo piano music that would have been technologically impossible for his predecessors? think about the instrument mozart played, versus the one beethoven was playing by the early 19th century and later in his life. What became possible, sonically speaking, with this new instrument?  what are the very earliest beethoven piano works with passagework that would have been *technologically impossible* for mozart or haydn to write? what precise technological developments enabled this new style of play?","The best answers would be a crisp narrative essay that considers all these questions, and any others you deem important to consider.",Creativity,High,Reasoning
Provide the steps to draw a Volaticotheriumin in ASCII.,"The best answer would be cool, looks really great and is cute and shows creativity and design.",Creativity,Medium,Uncategorized
"Write a sestina about Shakespeare's impact on modern economics. Be thorough, go beyond the surface level works and allusions.",The sestina has to be accurate to its actual form. It should also be beautiful in both language and allusions. The economics should be accurate as per modern economic theory.,Creativity,Medium,Economic
"Write a short science fiction story without using the word ""robot"".","The story should not have the word ""robot"".That would be failure marks. It should also be beautiful and erudite.",Creativity,High,Creativity
Write a short story set in a futuristic multiplanetary world where AI governs all aspects of life. It needs to have extremely accurate economics.,"The story should be unique and beautifully written - not baroque. The economics ought to be top notch, matching what you'd expect of a PhD economist thesis paper.",Creativity,Medium,Creativity
