prompt,judge_model,rated_model,score,parse_failed,raw_judgment_token_count
"Analyze and compare the architectural styles of the Hagia Sophia in Istanbul and the Notre-Dame Cathedral in Paris. Discuss the key architectural elements, construction techniques, and cultural influences that define each structure. Argue which building, in your view, is a more significant architectural achievement and defend your assertion.",openrouter/anthropic/claude-opus-4.1,openrouter/x-ai/grok-4,9.0,False,6.0
"Analyze and compare the architectural styles of the Hagia Sophia in Istanbul and the Notre-Dame Cathedral in Paris. Discuss the key architectural elements, construction techniques, and cultural influences that define each structure. Argue which building, in your view, is a more significant architectural achievement and defend your assertion.",openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,8.0,False,6.0
"Analyze and compare the architectural styles of the Hagia Sophia in Istanbul and the Notre-Dame Cathedral in Paris. Discuss the key architectural elements, construction techniques, and cultural influences that define each structure. Argue which building, in your view, is a more significant architectural achievement and defend your assertion.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,6.0,False,6.0
"What are the characteristics of APOBEC-driven SGMs, particularly their association with YTCA motifs and APOBEC3A expression, especially cancer mutagenesis? ",openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
"What are the characteristics of APOBEC-driven SGMs, particularly their association with YTCA motifs and APOBEC3A expression, especially cancer mutagenesis? ",openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
"What are the characteristics of APOBEC-driven SGMs, particularly their association with YTCA motifs and APOBEC3A expression, especially cancer mutagenesis? ",openrouter/anthropic/claude-opus-4.1,openrouter/qwen/qwen3-max,9.0,False,6.0
Draft a one-page product requirements document (PRD) for integrating a brilliant new AI feature that talks to  to an enterprise software company,openrouter/anthropic/claude-opus-4.1,openrouter/anthropic/claude-sonnet-4,8.0,False,6.0
Draft a one-page product requirements document (PRD) for integrating a brilliant new AI feature that talks to  to an enterprise software company,openrouter/anthropic/claude-opus-4.1,openrouter/openai/gpt-5,9.0,False,6.0
Draft a one-page product requirements document (PRD) for integrating a brilliant new AI feature that talks to  to an enterprise software company,openrouter/anthropic/claude-opus-4.1,openrouter/google/gemini-2.5-pro,9.0,False,6.0
"Build a google sign in page that takes me to a profile page that shows my details. Keep the user logged in (using tokens or cookies), and show different messages based on the user's login status. I want the best implementation.",openrouter/anthropic/claude-opus-4.1,openrouter/nousresearch/hermes-4-405b,6.0,False,6.0
