category,model,average_score,evaluations_count
Reasoning,o1-preview,8.8,30
Reasoning,deepseek-chat,8.766666666666667,30
Reasoning,claude-3-5-sonnet-latest,6.9655172413793105,29
Reasoning,gemini-2.0-flash-thinking-exp-1219,8.206896551724139,29
Reasoning,gemini-exp-1206,8.61111111111111,18
Reasoning,gpt-4o,8.212121212121213,33
Creativity,gpt-4o,7.923076923076923,13
Creativity,gemini-exp-1206,8.833333333333334,6
Creativity,deepseek-chat,8.5,14
Creativity,o1-preview,8.857142857142858,14
Creativity,claude-3-5-sonnet-latest,6.857142857142857,7
Creativity,gemini-2.0-flash-thinking-exp-1219,8.045454545454545,11
Economic,o1-preview,7.5,4
Economic,deepseek-chat,8.0,5
Economic,gemini-exp-1206,8.0,7
Economic,gpt-4o,8.333333333333334,6
Economic,claude-3-5-sonnet-latest,7.888888888888889,9
Economic,gemini-2.0-flash-thinking-exp-1219,7.75,4
Knowledge,deepseek-chat,4.333333333333333,3
Knowledge,gemini-exp-1206,6.571428571428571,7
Knowledge,claude-3-5-sonnet-latest,6.857142857142857,7
Knowledge,gpt-4o,6.166666666666667,6
Knowledge,o1-preview,5.833333333333333,6
Knowledge,gemini-2.0-flash-thinking-exp-1219,7.0,4
Technical,claude-3-5-sonnet-latest,8.0,1
Technical,gemini-2.0-flash-thinking-exp-1219,7.333333333333333,3
Technical,deepseek-chat,8.5,2
Technical,o1-preview,8.666666666666666,3
Technical,gemini-exp-1206,9.25,4
Technical,gpt-4o,7.0,1
Medical,o1-preview,6.2,5
Medical,deepseek-chat,7.166666666666667,6
Medical,gemini-exp-1206,6.714285714285714,7
Medical,claude-3-5-sonnet-latest,5.0,6
Medical,gemini-2.0-flash-thinking-exp-1219,6.142857142857143,7
Medical,gpt-4o,8.5,4
